Caso,Tamaño,Tipo,s1,s2,Tiempo (ns),Resultado (cambios necesarios),Memoria (bytes)
1,1,Aleatorio,k,t,800,2,4149248
1,1,Palindromo, , ,300,0,4182016
1,1,Repetidos,a,a,300,0,4182016
1,1,Casi Identico,m,m,100,0,4182016
1,1,Transposicion,v,v,0,0,4182016
2,2,Aleatorio,ar,rd,900,2,4182016
2,2,Palindromo,dd,cc,500,4,4182016
2,2,Repetidos,aa,aa,800,0,4182016
2,2,Casi Identico,qr,ar,600,2,4182016
2,2,Transposicion,pk,kp,700,1,4182016
3,3,Aleatorio,zqz,hpb,2000,6,4182016
3,3,Palindromo,h h,l l,1800,4,4182016
3,3,Repetidos,aaa,aaa,1900,0,4182016
3,3,Casi Identico,bvl,avl,1700,2,4182016
3,3,Transposicion,mxw,xmw,1800,1,4182016
4,4,Aleatorio,hark,mvby,8000,8,4182016
4,4,Palindromo,raar,cssc,7800,8,4182016
4,4,Repetidos,aaaa,aaaa,7800,0,4182016
4,4,Casi Identico,gbsz,absz,7600,2,4182016
4,4,Transposicion,gldc,lgdc,7600,1,4182016
5,5,Aleatorio,iggsx,coqbz,39200,10,4182016
5,5,Palindromo,hn nh,sn ns,39400,4,4182016
5,5,Repetidos,aaaaa,aaaaa,41300,0,4182016
5,5,Casi Identico,kpznf,apznf,37500,2,4182016
5,5,Transposicion,nbxtg,bnxtg,37700,1,4182016
6,6,Aleatorio,dwbbcq,hvylik,202700,12,4182016
6,6,Palindromo,qoxxoq,anssna,207700,12,4182016
6,6,Repetidos,aaaaaa,aaaaaa,223400,0,4182016
6,6,Casi Identico,hqhsos,aqhsos,195700,2,4182016
6,6,Transposicion,rzzdga,zrzdga,200100,1,4182016
7,7,Aleatorio,xwygaml,fcbkpuw,1103300,12,4182016
7,7,Palindromo,bkw wkb,yok koy,1081400,8,4182016
7,7,Repetidos,aaaaaaa,aaaaaaa,1252000,0,4182016
7,7,Casi Identico,jwaegzc,awaegzc,1042100,2,4182016
7,7,Transposicion,amhikjo,mahikjo,1063900,1,4182016
8,8,Aleatorio,vohdplcw,wtfjvnim,5956400,14,4182016
8,8,Palindromo,aotlltoa,olvffvlo,6009200,8,4182016
8,8,Repetidos,aaaaaaaa,aaaaaaaa,7125400,0,4182016
8,8,Casi Identico,rvfsoaki,avfsoaki,5734400,2,4182016
8,8,Transposicion,axmpixyb,xampixyb,5801800,1,4182016
9,9,Aleatorio,zmuefctgp,rzyhbaoea,33043700,14,4182016
9,9,Palindromo,jfcd dcfj,gyym myyg,32177600,16,4182016
9,9,Repetidos,aaaaaaaaa,aaaaaaaaa,40321600,0,4182016
9,9,Casi Identico,lkayrxgjb,akayrxgjb,30196800,2,4182016
9,9,Transposicion,wkeylzdoj,kweylzdoj,33907500,1,4182016
10,10,Aleatorio,qxjgcatdwr,vwcmniellu,184637000,18,4182016
10,10,Palindromo,vsuuiiuusv,iotqvvqtoi,159978700,16,4182016
10,10,Repetidos,aaaaaaaaaa,aaaaaaaaaa,196813400,0,4182016
10,10,Casi Identico,tnrzhttkig,anrzhttkig,136532000,2,4182016
10,10,Transposicion,rviqruihya,vriqruihya,139024800,1,4182016
11,11,Aleatorio,ztssmcenkqh,xlkgwlkhyqh,709647100,16,4182016
11,11,Palindromo,kcrek kerck,ztlgd dgltz,995318600,20,4182016
11,11,Repetidos,aaaaaaaaaaa,aaaaaaaaaaa,1438835400,0,4182016
11,11,Casi Identico,vatorjlgjxh,aatorjlgjxh,1011806100,2,4182016
11,11,Transposicion,tjhqkzpjyuj,jthqkzpjyuj,1058375000,1,4182016
12,12,Aleatorio,daaougajeozd,cehttuejknab,4894768600,19,4182016
12,12,Palindromo,rnyrxbbxrynr,vnkzudduzknv,4611026300,20,4182016
12,12,Repetidos,aaaaaaaaaaaa,aaaaaaaaaaaa,8440922200,0,4182016
12,12,Casi Identico,uterbcnxzzxh,aterbcnxzzxh,5894742200,2,4153344
12,12,Transposicion,hzswcwytrtss,zhswcwytrtss,5337301100,1,4153344
13,13,Aleatorio,mtnglizzartzt,aniegjvwpbrtt,23984843600,16,4141056
13,13,Palindromo,noznoa aonzon,lgovni invogl,24521211500,16,4149248
13,13,Repetidos,aaaaaaaaaaaaa,aaaaaaaaaaaaa,36663500200,0,4149248
13,13,Casi Identico,qvhiiitpgpzti,avhiiitpgpzti,25924829300,2,4149248
13,13,Transposicion,lnwddozelhcqv,nlwddozelhcqv,25352947300,1,4149248
14,14,Aleatorio,irwqzxnnuhycvw,kqkfxmphetnmql,141899206200,22,4182016
14,14,Palindromo,wexefqjjqfexew,kftbtnuuntbtfk,138370657100,24,4161536
14,14,Repetidos,aaaaaaaaaaaaaa,aaaaaaaaaaaaaa,220450822200,0,4173824
14,14,Casi Identico,ppnflvzioldpsj,apnflvzioldpsj,130884980200,2,4173824
14,14,Transposicion,hguhjqvyzmcuuz,ghuhjqvyzmcuuz,136514219000,1,4173824
15,15,Aleatorio,jcvgcumshqhvhix,kxbzbnljoupojjy,917234918500,26,4173824
15,15,Palindromo,sewerci icrewes,wjtnqpa apqntjw,995888149500,24,4173824
15,15,Repetidos,aaaaaaaaaaaaaaa,aaaaaaaaaaaaaaa,1491491565800,0,4173824
15,15,Casi Identico,zjndibdvkocrfrh,ajndibdvkocrfrh,814593785600,2,4173824
15,15,Transposicion,crtzyyapntrzncn,rctzyyapntrzncn,805721166900,1,4173824
